time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-05-14T16:56:43.520Z,23.9194,122.499,21.44,4.2,mb,,96,0.718,0.89,us,us10002903,2015-07-23T01:03:59.040Z,"79km SW of Yonakuni, Japan",earthquake,3.9,5.8,0.153,14,reviewed,us,us
2015-05-11T23:43:15.900Z,23.96,121.5,21.3,4.3,mwr,,,,1.05,us,us20002ei9,2015-07-17T07:06:09.040Z,"10km W of Hualian, Taiwan",earthquake,4.1,5,0.061,26,reviewed,tap,us
2015-05-11T08:53:58.000Z,24.53,120.44,5,4.5,mb,,,,1.2,us,us10002b5c,2015-07-17T07:06:08.040Z,"39km W of Miaoli, Taiwan",earthquake,2.3,5,0.242,5,reviewed,tap,us
2015-05-11T08:38:21.500Z,24.59,120.42,15.6,4.6,mb,,,,1.03,us,us20002ebu,2015-07-17T07:06:07.040Z,"40km W of Miaoli, Taiwan",earthquake,2.4,4,0.076,52,reviewed,tap,us
2015-05-07T20:12:09.870Z,24.5237,120.4615,14.17,4,mb,,96,0.844,0.88,us,us100029em,2015-07-17T07:05:57.040Z,"36km W of Miaoli, Taiwan",earthquake,2.4,5.7,0.183,8,reviewed,us,us
2015-05-04T01:16:18.020Z,23.9885,122.4978,35.43,4.5,mb,,104,0.668,0.78,us,us20002b34,2015-07-09T22:00:09.040Z,"73km SW of Yonakuni, Japan",earthquake,5.4,7.2,0.112,23,reviewed,us,us
2015-05-03T13:09:07.880Z,24.0482,122.447,27.5,4.6,mwr,,74,0.662,0.98,us,us20002azh,2015-07-09T22:00:07.040Z,"72km SW of Yonakuni, Japan",earthquake,5.7,4.7,0.086,13,reviewed,us,us
2015-05-02T12:52:49.520Z,23.9972,122.5141,23.69,4.3,mb,,90,0.651,0.89,us,us20002auz,2015-07-09T22:00:06.040Z,"71km SW of Yonakuni, Japan",earthquake,4.3,5.3,0.114,22,reviewed,us,us
2015-05-01T12:54:47.000Z,24.58,120.45,10.6,4.3,mb,,,,1.29,us,us20002dhd,2015-07-09T22:00:05.040Z,"37km W of Miaoli, Taiwan",earthquake,3.9,4.6,0.153,12,reviewed,tap,us
2015-04-29T15:27:17.630Z,23.8627,121.7794,20.53,4,mb,,101,0.352,0.69,us,us20002bpj,2015-07-03T00:23:47.040Z,"21km SE of Hualian, Taiwan",earthquake,3.6,7.4,0.211,6,reviewed,us,us
2015-04-27T15:14:55.200Z,24.01,121.59,40.2,4.5,mb,,,,0.94,us,us20002lr8,2015-07-03T00:23:44.040Z,"3km NNW of Hualian, Taiwan",earthquake,4.5,4.9,0.383,2,reviewed,tap,us
2015-04-25T20:01:36.190Z,23.9436,122.5368,22.77,5.1,mwr,,37,0.677,0.8,us,us2000298l,2015-07-03T00:23:40.040Z,"74km SW of Yonakuni, Japan",earthquake,4.3,3.5,0.071,19,reviewed,us,us
2015-04-24T12:00:17.870Z,24.0705,122.3328,10,4.4,mb,,74,0.682,1.3,us,us200028ta,2015-07-03T00:23:38.040Z,"74km E of Hualian, Taiwan",earthquake,2.6,1.9,0.101,28,reviewed,us,us
2015-04-21T11:06:03.890Z,23.8797,122.5488,16.81,4.3,mb,,105,0.721,0.87,us,us20002812,2015-06-26T23:16:00.040Z,"79km SW of Yonakuni, Japan",earthquake,3.7,5,0.109,24,reviewed,us,us
2015-04-20T16:53:11.960Z,24.0417,122.5292,28.74,4.4,mb,,104,0.61,0.69,us,us200029tw,2015-06-26T23:15:59.040Z,"67km SW of Yonakuni, Japan",earthquake,4.9,6.1,0.126,18,reviewed,us,us
2015-04-20T12:23:09.420Z,23.9582,122.5451,28.59,4.2,mb,,90,0.661,0.72,us,us200029tp,2015-06-26T23:15:58.040Z,"72km SW of Yonakuni, Japan",earthquake,4.7,4.9,0.115,25,reviewed,us,us
2015-04-20T12:00:00.070Z,24.0471,122.4532,29,6.1,mww,,26,0.659,0.77,us,us200027ru,2016-11-10T21:47:10.866Z,"72km SW of Yonakuni, Japan",earthquake,5.5,1.8,,,reviewed,us,us
2015-04-20T11:45:13.440Z,24.0851,122.453,29,6,mww,,12,0.635,0.69,us,us200027rt,2016-11-10T21:47:10.333Z,"69km SW of Yonakuni, Japan",earthquake,4.3,1.7,,,reviewed,us,us
2015-04-20T11:20:47.620Z,23.635,121.6378,36.98,4.9,mwr,,48,0.395,0.85,us,us200027rr,2015-06-26T23:15:58.040Z,"38km S of Hualian, Taiwan",earthquake,4.7,4.5,0.056,31,reviewed,us,us
2015-04-20T04:18:12.030Z,24.0039,122.5143,37.24,4.4,mb,,184,0.646,1.12,us,us200029ti,2015-06-26T23:15:58.040Z,"71km SW of Yonakuni, Japan",earthquake,6.4,5.1,0.169,10,reviewed,us,us
2015-04-20T03:12:24.500Z,24.0559,122.4521,38.62,4.3,mb,,113,0.654,1.26,us,us200029te,2015-06-26T23:15:58.040Z,"71km SW of Yonakuni, Japan",earthquake,2.8,9.3,0.177,9,reviewed,us,us
2015-04-20T01:49:11.590Z,24.0958,122.4573,35,5.2,mb,,87,0.626,1.03,us,us200028h7,2015-06-26T23:15:57.040Z,"68km SW of Yonakuni, Japan",earthquake,6.1,1.9,0.068,72,reviewed,us,us
2015-04-20T01:42:58.380Z,24.2026,122.3158,29,6.4,mww,,11,0.659,1.26,us,us200027ps,2020-03-27T12:15:19.792Z,"64km SE of Su'ao, Taiwan",earthquake,6,1.7,,,reviewed,us,us
2015-04-15T19:48:37.600Z,22.76,121.34,21.7,4.4,mb,,,,1.26,us,us200026st,2015-06-22T23:19:03.040Z,"20km E of Taitung City, Taiwan",earthquake,5.8,4,0.076,50,reviewed,tap,us
2015-04-13T17:13:57.400Z,23.92,121.1,8.6,4.5,mb,,,,1.11,us,us2000266k,2015-06-22T23:19:00.040Z,"14km ESE of Buli, Taiwan",earthquake,4.6,3.9,0.075,52,reviewed,tap,us
2015-04-13T01:30:28.080Z,25.3427,122.3556,222.63,4.2,mb,,61,0.86,0.88,us,us20002821,2015-06-22T23:18:59.040Z,"66km ENE of Keelung, Taiwan",earthquake,9.1,6.7,0.082,41,reviewed,us,us
2015-04-05T20:50:26.400Z,24.0008,121.578,25.2,4.5,mb,,81,0.172,1.14,us,us10001u5w,2015-06-16T01:00:28.040Z,"3km NW of Hualian, Taiwan",earthquake,3.5,5.6,0.205,7,reviewed,us,us
2015-03-27T19:09:40.190Z,22.4744,121.6034,23.74,4.2,mwr,,89,0.592,1.22,us,us10001raj,2015-06-12T01:53:25.040Z,"56km ESE of Taitung City, Taiwan",earthquake,3.2,4.9,0.073,18,reviewed,us,us
2015-03-23T10:13:50.880Z,23.7235,121.75,35,5.5,mww,,19,0.47,1.14,us,us10001ps8,2020-03-27T10:45:22.134Z,"31km SSE of Hualian, Taiwan",earthquake,4.1,1.8,,,reviewed,us,us
2015-02-26T16:50:02.800Z,24.6825,122.3253,100.64,4.4,mwr,,29,0.66,0.77,us,usc000tte9,2015-05-19T00:28:44.040Z,"48km E of Su'ao, Taiwan",earthquake,4.8,3.9,0.065,23,reviewed,us,us
2015-02-15T16:44:07.200Z,22.7639,121.3614,17.57,4.2,mb,,70,0.265,0.71,us,usb000tpje,2015-05-11T23:20:17.040Z,"22km E of Taitung City, Taiwan",earthquake,5.6,0.6,0.106,27,reviewed,us,us
2015-02-13T20:06:32.330Z,22.6374,121.427,30,6.2,mww,,14,0.367,1.09,us,usb000tp6y,2020-03-27T14:58:00.270Z,"31km ESE of Taitung City, Taiwan",earthquake,5.4,3.1,,,reviewed,us,us
2015-02-12T07:35:35.110Z,24.2367,121.6934,31.66,4.3,mb,,70,0.109,0.65,us,usb000tnie,2015-05-11T23:20:09.040Z,"30km NNE of Hualian, Taiwan",earthquake,3.5,4.1,0.142,15,reviewed,us,us
